/Graph
Time (s),Data (Meters),Data0 (Meters),Data1 (Meters)
7.100,+3.278e-07,+1.000e+00,-2.000e+00
7.125,+3.278e-07,+1.000e+00,-2.000e+00
7.150,+3.278e-07,+1.000e+00,-2.000e+00
7.175,+3.278e-07,+1.000e+00,-2.000e+00
7.200,+3.278e-07,+1.000e+00,-2.000e+00
7.225,+3.278e-07,+1.000e+00,-2.000e+00
7.250,+3.278e-07,+1.000e+00,-2.000e+00
7.275,+3.278e-07,+1.000e+00,-2.000e+00
7.300,+3.278e-07,+1.000e+00,-2.000e+00
7.325,+3.278e-07,+1.000e+00,-2.000e+00
7.350,+3.278e-07,+1.000e+00,-2.000e+00
7.375,+3.278e-07,+1.000e+00,-2.000e+00
7.400,+3.278e-07,+1.000e+00,-2.000e+00
7.425,+3.278e-07,+1.000e+00,-2.000e+00
7.450,+3.278e-07,+1.000e+00,-2.000e+00
7.475,+3.278e-07,+1.000e+00,-2.000e+00
7.500,+3.278e-07,+1.000e+00,-2.000e+00
7.525,+3.278e-07,+1.000e+00,-2.000e+00
7.550,+3.278e-07,+1.000e+00,-2.000e+00
7.575,+3.278e-07,+1.000e+00,-2.000e+00
7.600,+3.278e-07,+1.000e+00,-2.000e+00
7.625,+3.278e-07,+1.000e+00,-2.000e+00
7.650,+3.278e-07,+1.000e+00,-2.000e+00
7.675,+3.278e-07,+1.000e+00,-2.000e+00
7.700,+3.278e-07,+1.000e+00,-2.000e+00
7.725,+3.278e-07,+1.000e+00,-2.000e+00
7.750,+3.278e-07,+1.000e+00,-2.000e+00
7.775,+3.278e-07,+1.000e+00,-2.000e+00
7.800,+3.278e-07,+1.000e+00,-2.000e+00
7.825,+3.278e-07,+1.000e+00,-2.000e+00
7.850,+3.278e-07,+1.000e+00,-2.000e+00
7.875,+3.278e-07,+1.000e+00,-2.000e+00
7.900,+3.278e-07,+1.000e+00,-2.000e+00
7.925,+3.278e-07,+1.000e+00,-2.000e+00
7.950,+3.278e-07,+1.000e+00,-2.000e+00
7.975,+3.278e-07,+1.000e+00,-2.000e+00
8.000,+3.278e-07,+1.000e+00,-2.000e+00
8.025,+3.278e-07,+1.000e+00,-2.000e+00
8.049999,+3.278e-07,+1.000e+00,-2.000e+00
8.075,+3.278e-07,+1.000e+00,-2.000e+00
8.099999,+3.278e-07,+1.000e+00,-2.000e+00
8.125,+3.278e-07,+1.000e+00,-2.000e+00
8.150,+3.278e-07,+1.000e+00,-2.000e+00
8.174999,+3.278e-07,+1.000e+00,-2.000e+00
8.200,+3.278e-07,+1.000e+00,-2.000e+00
8.224999,+3.278e-07,+1.000e+00,-2.000e+00
8.250,+3.278e-07,+1.000e+00,-2.000e+00
8.275,+3.278e-07,+1.000e+00,-2.000e+00
8.299999,+3.278e-07,+1.000e+00,-2.000e+00
8.325,+3.278e-07,+1.000e+00,-2.000e+00
8.349999,+3.278e-07,+1.000e+00,-2.000e+00
8.375,+3.278e-07,+1.000e+00,-2.000e+00
8.400,+3.278e-07,+1.000e+00,-2.000e+00
8.424999,+3.278e-07,+1.000e+00,-2.000e+00
8.450,+3.278e-07,+1.000e+00,-2.000e+00
8.474999,+3.278e-07,+1.000e+00,-2.000e+00
8.500,+3.278e-07,+1.000e+00,-2.000e+00
8.525,+3.278e-07,+1.000e+00,-2.000e+00
8.549999,+3.278e-07,+1.000e+00,-2.000e+00
8.575,+3.278e-07,+1.000e+00,-2.000e+00
8.599999,+3.278e-07,+1.000e+00,-2.000e+00
8.625,+3.278e-07,+1.000e+00,-2.000e+00
8.650,+3.278e-07,+1.000e+00,-2.000e+00
8.674999,+3.278e-07,+1.000e+00,-2.000e+00
8.700,+3.278e-07,+1.000e+00,-2.000e+00
8.724999,+3.278e-07,+1.000e+00,-2.000e+00
8.750,+3.278e-07,+1.000e+00,-2.000e+00
8.775,+3.278e-07,+1.000e+00,-2.000e+00
8.799999,+3.278e-07,+1.000e+00,-2.000e+00
8.825,+3.278e-07,+1.000e+00,-2.000e+00
8.849999,+3.278e-07,+1.000e+00,-2.000e+00
8.875,+3.278e-07,+1.000e+00,-2.000e+00
8.900,+3.278e-07,+1.000e+00,-2.000e+00
8.924999,+3.278e-07,+1.000e+00,-2.000e+00
8.950,+3.278e-07,+1.000e+00,-2.000e+00
8.974999,+3.278e-07,+1.000e+00,-2.000e+00
9.000,+3.278e-07,+1.000e+00,-2.000e+00
9.025,+3.278e-07,+1.000e+00,-2.000e+00
9.049999,+3.278e-07,+1.000e+00,-2.000e+00
9.075,+3.278e-07,+1.000e+00,-2.000e+00
9.099999,+3.278e-07,+1.000e+00,-2.000e+00
9.125,+3.278e-07,+1.000e+00,-2.000e+00
9.150,+3.278e-07,+1.000e+00,-2.000e+00
9.174999,+3.278e-07,+1.000e+00,-2.000e+00
9.200,+3.278e-07,+1.000e+00,-2.000e+00
9.224999,+3.278e-07,+1.000e+00,-2.000e+00
9.250,+3.278e-07,+1.000e+00,-2.000e+00
9.275,+3.278e-07,+1.000e+00,-2.000e+00
9.299999,+3.278e-07,+1.000e+00,-2.000e+00
9.325,+3.278e-07,+1.000e+00,-2.000e+00
9.349999,+3.278e-07,+1.000e+00,-2.000e+00
9.375,+3.278e-07,+1.000e+00,-2.000e+00
9.400,+3.278e-07,+1.000e+00,-2.000e+00
9.424999,+3.278e-07,+1.000e+00,-2.000e+00
9.450,+3.278e-07,+1.000e+00,-2.000e+00
9.474999,+3.278e-07,+1.000e+00,-2.000e+00
9.500,+3.278e-07,+1.000e+00,-2.000e+00
9.525,+3.278e-07,+1.000e+00,-2.000e+00
9.549999,+3.278e-07,+1.000e+00,-2.000e+00
9.575,+3.278e-07,+1.000e+00,-2.000e+00
9.599999,+3.278e-07,+1.000e+00,-2.000e+00
9.625,+3.278e-07,+1.000e+00,-2.000e+00
9.650,+3.278e-07,+1.000e+00,-2.000e+00
9.674999,+3.278e-07,+1.000e+00,-2.000e+00
9.700,+3.278e-07,+1.000e+00,-2.000e+00
9.724999,+3.278e-07,+1.000e+00,-2.000e+00
9.750,+3.278e-07,+1.000e+00,-2.000e+00
9.775,+3.278e-07,+1.000e+00,-2.000e+00
9.799999,+3.278e-07,+1.000e+00,-2.000e+00
9.825,+3.278e-07,+1.000e+00,-2.000e+00
9.849999,+3.278e-07,+1.000e+00,-2.000e+00
9.875,+3.278e-07,+1.000e+00,-2.000e+00
9.900,+3.278e-07,+1.000e+00,-2.000e+00
9.924999,+3.278e-07,+1.000e+00,-2.000e+00
9.950,+3.278e-07,+1.000e+00,-2.000e+00
9.974999,+3.278e-07,+1.000e+00,-2.000e+00
10.000,+3.278e-07,+1.000e+00,-2.000e+00
10.025,+3.278e-07,+1.000e+00,-2.000e+00
10.049999,+3.278e-07,+1.000e+00,-2.000e+00
10.075,+3.278e-07,+1.000e+00,-2.000e+00
10.099999,+3.278e-07,+1.000e+00,-2.000e+00
10.125,+3.278e-07,+1.000e+00,-2.000e+00
10.150,+3.278e-07,+1.000e+00,-2.000e+00
10.174999,+3.278e-07,+1.000e+00,-2.000e+00
10.200,+3.278e-07,+1.000e+00,-2.000e+00
10.224999,+3.278e-07,+1.000e+00,-2.000e+00
10.250,+3.278e-07,+1.000e+00,-2.000e+00
10.275,+3.278e-07,+1.000e+00,-2.000e+00
10.299999,+3.278e-07,+1.000e+00,-2.000e+00
10.325,+3.278e-07,+1.000e+00,-2.000e+00
10.349999,+3.278e-07,+1.000e+00,-2.000e+00
10.375,+3.278e-07,+1.000e+00,-2.000e+00
10.400,+3.278e-07,+1.000e+00,-2.000e+00
10.424999,+3.278e-07,+1.000e+00,-2.000e+00
10.450,+3.278e-07,+1.000e+00,-2.000e+00
10.474999,+3.278e-07,+1.000e+00,-2.000e+00
10.500,+3.278e-07,+1.000e+00,-2.000e+00
10.525,+3.278e-07,+1.000e+00,-2.000e+00
10.549999,+3.278e-07,+1.000e+00,-2.000e+00
10.575,+3.278e-07,+1.000e+00,-2.000e+00
10.599999,+3.278e-07,+1.000e+00,-2.000e+00
10.625,+3.278e-07,+1.000e+00,-2.000e+00
10.650,+3.278e-07,+1.000e+00,-2.000e+00
10.674999,+3.278e-07,+1.000e+00,-2.000e+00
10.700,+3.278e-07,+1.000e+00,-2.000e+00
10.724999,+3.278e-07,+1.000e+00,-2.000e+00
10.750,+3.278e-07,+1.000e+00,-2.000e+00
10.775,+3.278e-07,+1.000e+00,-2.000e+00
10.799999,+3.278e-07,+1.000e+00,-2.000e+00
10.825,+3.278e-07,+1.000e+00,-2.000e+00
10.849999,+3.278e-07,+1.000e+00,-2.000e+00
10.875,+3.278e-07,+1.000e+00,-2.000e+00
10.900,+3.278e-07,+1.000e+00,-2.000e+00
10.924999,+3.278e-07,+1.000e+00,-2.000e+00
10.950,+3.278e-07,+1.000e+00,-2.000e+00
10.974999,+3.278e-07,+1.000e+00,-2.000e+00
11.000,+3.278e-07,+1.000e+00,-2.000e+00
11.025,+3.278e-07,+1.000e+00,-2.000e+00
11.049999,+3.278e-07,+1.000e+00,-2.000e+00
11.075,+3.278e-07,+1.000e+00,-2.000e+00
11.099999,+3.278e-07,+1.000e+00,-2.000e+00
11.125,+3.278e-07,+1.000e+00,-2.000e+00
11.150,+3.278e-07,+1.000e+00,-2.000e+00
11.174999,+3.278e-07,+1.000e+00,-2.000e+00
11.200,+3.278e-07,+1.000e+00,-2.000e+00
11.224999,+3.278e-07,+1.000e+00,-2.000e+00
11.250,+3.278e-07,+1.000e+00,-2.000e+00
11.275,+3.278e-07,+1.000e+00,-2.000e+00
11.299999,+3.278e-07,+1.000e+00,-2.000e+00
11.325,+3.278e-07,+1.000e+00,-2.000e+00
11.349999,+3.278e-07,+1.000e+00,-2.000e+00
11.375,+3.278e-07,+1.000e+00,-2.000e+00
11.400,+3.278e-07,+1.000e+00,-2.000e+00
11.424999,+3.278e-07,+1.000e+00,-2.000e+00
11.450,+3.278e-07,+1.000e+00,-2.000e+00
11.474999,+3.278e-07,+1.000e+00,-2.000e+00
11.500,+3.278e-07,+1.000e+00,-2.000e+00
11.525,+3.278e-07,+1.000e+00,-2.000e+00
11.549999,+3.278e-07,+1.000e+00,-2.000e+00
11.575,+3.278e-07,+1.000e+00,-2.000e+00
11.599999,+3.278e-07,+1.000e+00,-2.000e+00
11.625,+3.278e-07,+1.000e+00,-2.000e+00
11.650,+3.278e-07,+1.000e+00,-2.000e+00
11.674999,+3.278e-07,+1.000e+00,-2.000e+00
11.700,+3.278e-07,+1.000e+00,-2.000e+00
11.724999,+3.278e-07,+1.000e+00,-2.000e+00
